视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
用自媒体赚的钱带全村的老人去旅行,https://www.bilibili.com/video/BV1hteAzhEbD,李福贵1,1144348,4847,338926,308924,6109,30129,0.27
【红石音乐】花之舞-Flower Dance,https://www.bilibili.com/video/BV1fNYizhEuG,Betacarr,2174935,3411,102540,308314,5347,156587,0.1418
9600包的桃园，拉到市里去卖这把是赚还是亏呢？,https://www.bilibili.com/video/BV1o8YxzeEtM,李维刚的日常,2328244,14078,78026,254362,3043,12242,0.1093
梦到哪句说哪句,https://www.bilibili.com/video/BV162eczzETZ,高斯Goh,1255104,55670,73442,145583,3353,49998,0.116
《满嘴都是夏天的糖果》,https://www.bilibili.com/video/BV1CUYyzPEqu,屑老板XBOSS,677437,1761,58512,127369,6239,50334,0.188
这一次，还能晒干了沉默吗？,https://www.bilibili.com/video/BV1cTYkzsEUF,田一名sir,4883675,5028,96069,653176,65234,60025,0.1337
我干了，大家随意,https://www.bilibili.com/video/BV1d9bpz1EN5,AI编程布道者-金角大王,1766475,51667,97826,442043,1329,37441,0.2502
人民日报对话“胖东来”创始人于东来：不追求成为很大的企业，只希望“善”能够走向更多的地方,https://www.bilibili.com/video/BV1qhewzzE5L,人民日报,1096692,3053,27653,139167,7284,14578,0.1269
我相信苦难困得住你的肉体，但困不住你自由的灵魂！,https://www.bilibili.com/video/BV1FLYyzoEwg,造梦阿瑄,971820,9114,15574,212077,2257,9847,0.2182
《虎头山野王》,https://www.bilibili.com/video/BV1eRY4zKEyM,伤心欲茄222,1624782,2894,6561,206674,4944,10469,0.1272
