视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
同时拥有两只高智商猫的弊端,https://www.bilibili.com/video/BV1GDZqY2EAd,亮亮也是酿酿,6021754,5381,101314,667777,53884,91522,0.1109
最近要出远门，找了上门喂养，做了个视频感觉蛮好玩，发出来给大伙玩玩哈哈,https://www.bilibili.com/video/BV1rNZnYVEwL,阿梨梨的动物园,1022655,1153,4406,108416,17788,12986,0.106
士：咩哇？！,https://www.bilibili.com/video/BV1nTZpYSEF4,系嚣士啊,1199335,589,4930,130817,7589,8763,0.1091
渔猫，并非普通家猫,https://www.bilibili.com/video/BV13bZpYvEiZ,大肥居居,1425588,418,933,148055,5212,17467,0.1039
抱在怀里就是超乖小猫,https://www.bilibili.com/video/BV1Q7ZtY7EBJ,胖头毛毛,272864,98,2182,111198,9423,23127,0.4075
来了只焦黄的小猫。。。,https://www.bilibili.com/video/BV1qLZ3YyEjk,汪丷先生,4419438,3376,331046,536276,5801,36562,0.1213
人 快夸我,https://www.bilibili.com/video/BV1czZEYGEmg,吃一口蛋卷o,885514,234,1445,92969,4478,10449,0.105
关键词：粘人 大只 爱撒娇,https://www.bilibili.com/video/BV1cCZnY7E6p,阿耀宠物乐园,414826,328,648,46244,4418,9981,0.1115
救了三只流浪狗 到家一周有两只小狗生崽了。,https://www.bilibili.com/video/BV1V9ZzYpEVc,李英俊帅气,328226,287,36757,57533,139,2131,0.1753
它明明什么都没做，是我先动的心！！,https://www.bilibili.com/video/BV1gyfAY2EYM,斯大喵-年年,557573,73,165,62219,1379,2925,0.1116
