视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
【Mujica/完结纪念Mad】心灵感应 :-sakiko,https://www.bilibili.com/video/BV1U7ZxYzEkC,法國香菜,727295,334,50034,105951,10832,52786,0.1457
人怎么能犯这么大的蠢,https://www.bilibili.com/video/BV1YcZYYeE7Y,鬼鬼_onioni,2923846,201,2853,388091,5827,46301,0.1327
doro：我来助你,https://www.bilibili.com/video/BV199ZtYXEe9,沐小落luoluo,783999,34171,8664,228228,6663,48989,0.2911
当课堂出现敏感词时,https://www.bilibili.com/video/BV1PLZ6YMEe7,小叶z1,1252398,522,3726,174938,8561,62242,0.1397
“ 卖   药   郎 ”,https://www.bilibili.com/video/BV1LHZpYgEPn,我有两条狗你呢,1461399,305,40613,231043,7409,73284,0.1581
小马の《潮汐》⚡️(完整版),https://www.bilibili.com/video/BV1pqZzYPECM,T-wixtor,979550,330,9759,115195,2280,40870,0.1176
【Evil】这就是我的精神状态,https://www.bilibili.com/video/BV1sYZrYyEaM,Vedal和Neuro-sama,722787,92,7024,101879,2435,29550,0.141
想和你一起玩游戏的可爱萌新队友【明日方舟】,https://www.bilibili.com/video/BV1txZzYrEh2,RPGLauncher,995828,149,6282,117797,4067,30091,0.1183
我想和小伙伴们说句话,https://www.bilibili.com/video/BV1kEZJYyE1x,伤花物语,566974,168,1326,88089,190,14543,0.1554
爱丽丝的秘密 [蔚蓝档案动画片],https://www.bilibili.com/video/BV114ZxYYE5h,BlueSechi,528279,295,5283,76495,1832,15421,0.1448
⚡👟  差  一  步  👟⚡,https://www.bilibili.com/video/BV1yDZBYvEW9,夜城入仁菜,422999,539,4456,61411,16227,20249,0.1452
这照片是你吗？,https://www.bilibili.com/video/BV1sHZvYZEMS,烦恼死的夏洛,1450006,450,6635,147120,3256,35696,0.1015
愿大家的梦想和选择都能被尊重,https://www.bilibili.com/video/BV1ZhZhYKEYS,来自星星的小m,531653,35,630,59396,331,6443,0.1117
【邦邦的日常】装腔作势的男人,https://www.bilibili.com/video/BV1czZEYGESP,邦邦的日常_official,558604,175,655,61461,625,4646,0.11
Eva Mujica #13 在世界中心呼唤爱的野兽,https://www.bilibili.com/video/BV1m2ZbY7E2m,丝柬,619589,549,21419,73827,22649,31985,0.1192
我推的emoji转场,https://www.bilibili.com/video/BV1pooRYkE6w,XLEI_EDIT,1459555,399,16183,245994,6708,69941,0.1685
「心灵感应BGM一响，DNA动了！」教室走廊秒变异次元，周防有希の舞见参上！,https://www.bilibili.com/video/BV1uTZkYHEmz,雪柔睡不醒,364558,65,2896,69160,589,33893,0.1897
阿漂你...就由我椿来守护！,https://www.bilibili.com/video/BV1yGZbY6EPz,汐汐不想睡大街,337296,125,6413,47119,1155,7574,0.1397
看起来很假，但确实是我漂泊者的日常,https://www.bilibili.com/video/BV1HfZ7YzEop,仰望的星星酥,314069,37,6280,39551,650,11216,0.1259
梦之烧麦,https://www.bilibili.com/video/BV1mCZBYgEKm,KANGBAS卓拉,540339,283,6642,65615,2473,12001,0.1214
如果你这样都算痛苦的话 那我经历的一切又算什么呢,https://www.bilibili.com/video/BV154Z4YpEHG,poimiku不是笨比,1006767,543,7668,101754,18840,49459,0.1011
我必须习惯啊。,https://www.bilibili.com/video/BV13rZhYbEbS,神奇猫猫头,611166,17056,582,106574,872,11606,0.1744
“野狗与浪人不需要墓志铭”「混沌武士」「Samurai Champloo」Part6,https://www.bilibili.com/video/BV1QbZVYCEVB,ONEM0RE原野,904081,199,37323,126564,5364,60992,0.14
怎样让水果自己变成切好的样子？？,https://www.bilibili.com/video/BV1ANZeYDEtE,WildKoko木可,1165462,351,8592,158269,4049,42393,0.1358
