视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
徐明浩 THE 8 in SUZHOU 一起干个杯吧,https://www.bilibili.com/video/BV12tZEYSEeU,徐明浩,254098,2694,26503,62774,2444,12820,0.247
[COVER] WONWOO - TOMBOY (原曲 : HYUKOH),https://www.bilibili.com/video/BV1jaZhYvEFz,SEVENTEEN,220925,2312,11336,33426,11520,9931,0.1513
【石黑英雄】我带大家赏樱啦,https://www.bilibili.com/video/BV1vSZtYxEiv,石黑英雄,350466,622,8518,120130,941,10705,0.3428
在歌声里结束这个愉快的周末吧！🎙️,https://www.bilibili.com/video/BV1XaZBYmEKv,武艺,454602,98,949,45837,364,1287,0.1008
【龚俊】近距离感受F1是什么体验？,https://www.bilibili.com/video/BV18kZ7YnEcm,龚俊Simon,82890,1615,6832,9766,1085,2823,0.1178
黄霄云翻唱没有问题？其实那段旋律就是《烟火里的尘埃》里的，是同一首歌？并非如此,https://www.bilibili.com/video/BV158oRYcE7F,神的护法yu,104375,1017,12539,10697,1718,5348,0.1025
跃跃欲试的开拓者们belike：,https://www.bilibili.com/video/BV19vZ6YWE8G,MAZE攻略组,174927,305,1855,27204,1958,2239,0.1555
“摇道至圣”,https://www.bilibili.com/video/BV1gYZsY6ELX,叫我阿川就好丶,449457,74,793,66895,683,16212,0.1488
【王鹤棣的V棣O】回归了！,https://www.bilibili.com/video/BV1qsZ4Y9EyX,王鹤棣_Dylan,66937,2443,4404,6793,678,2438,0.1015
4月18日晚上20:00销冠李老板b站首播！,https://www.bilibili.com/video/BV187ZqYuEVF,销冠李老板,287812,183,2691,63327,253,3292,0.22
