视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
六尺之内 我是无敌的！,https://www.bilibili.com/video/BV1B3ZnYuEDP,Midoriko绿子,877775,175,9325,195069,2177,47398,0.2222
【摩登表演舞】用芙卡洛斯谢幕曲跳一支维也纳华尔兹,https://www.bilibili.com/video/BV1hFZbYUEbJ,Ada艾达_摸鱼版,1203115,342,8749,182108,3685,41361,0.1514
由岐,https://www.bilibili.com/video/BV16AZrYNEwZ,小包包一枚,1189646,225,14960,132692,5424,63149,0.1115
愚人节，花火秒了！,https://www.bilibili.com/video/BV1H7ZbYTEwy,默默子rikiyo,344980,41,3787,68142,1022,30414,0.1975
下巴为什么比鼻子难do？,https://www.bilibili.com/video/BV1W9ZbYkEwf,十一的看脸日记,561832,3137,4580,64907,1788,4532,0.1155
老 师 我 没 有,https://www.bilibili.com/video/BV1RQZEYAEDd,小南宫zzZ,466311,337,706,48949,364,13132,0.105
"""嗨~想我了吗？""爱莉希雅人之律者cos",https://www.bilibili.com/video/BV1ACZnY7Eb6,北北miya,166998,285,5134,82796,1061,23150,0.4958
“请宿主做好准备”,https://www.bilibili.com/video/BV1EjoXYwECL,Doki蟹泥泥,2512144,273,8240,381034,2642,40539,0.1517
拜见猫猫教主,https://www.bilibili.com/video/BV1koZ6YuE4j,Aira丶艾拉,423833,51,2794,52151,944,16632,0.123
我们是同源而生，说好了，生和死都不再分开【原创CG】,https://www.bilibili.com/video/BV1hNfTYfEhs,零零依zero,596301,378,23613,125105,4879,28520,0.2098
