视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
《绝区零》星徽骑士EP丨拂晓之空 闪耀之誓,https://www.bilibili.com/video/BV1HTZpYSExJ,绝区零,1874085,28510,62098,232710,24982,35288,0.1242
简单融个号助力忍界大战,https://www.bilibili.com/video/BV153ZEYhE1N,宇智波家の花音,1097685,2453,100628,135222,3834,15363,0.1232
“我花了5年一个人做的独立像素游戏4月17日就要上线啦！”,https://www.bilibili.com/video/BV1eqZJYaESc,换影循迹官方,3370336,37472,161636,692416,7684,133400,0.2054
当我在游戏里为“狙击手”拍照...【绝区零摄影第六期】,https://www.bilibili.com/video/BV1pJfNYrExn,语堂天天啃土,2362030,746,63658,286386,13859,76037,0.1212
就算失败，我也想知道自己倒在距离终点多远的地方,https://www.bilibili.com/video/BV1VmZqYUE87,阿喵的小生活,5579216,7439,174265,610511,23446,31635,0.1094
“可是遐蝶姐姐的手明明很温暖啊...尽情拥抱吧.”【遐蝶×好想爱这个世界啊】,https://www.bilibili.com/video/BV1GnZnYAEwx,念北风_,889007,15595,46791,108361,8940,51916,0.1219
永远在追求极致的鸣潮！“二游有很多难忘瞬间，你游未免太多了吧！”,https://www.bilibili.com/video/BV1aCZHYKEpY,哇周某人,772607,2267,69298,121415,5001,50775,0.1571
"Pi,mc,极限生存OVA",https://www.bilibili.com/video/BV1ZYZyY3EWS,少年Pi,371666,5728,32236,40947,4363,13026,0.1102
扫除游戏健康生态“新害虫”，米哈游协助警方斩断“游戏账号非法租售黑灰产”链条,https://www.bilibili.com/video/BV1b4ZrYUEef,米哈游法务部,976775,0,28312,172987,15313,9932,0.1771
！奇 曲 蛊 整,https://www.bilibili.com/video/BV11WZxYvE35,卡丘啊那个卡丘,1680829,559,2260,171025,1674,20994,0.1018
