视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
需要喝自己胆汁的小女孩珍珍，希望以后的生活苦味追不上你,https://www.bilibili.com/video/BV1JhZcY9EFN,爱画画的子衿,7325320,55429,1359731,1174913,22052,155507,0.1604
女儿：爸爸妈妈要结婚啦？,https://www.bilibili.com/video/BV1fpZ6YaE47,肥娟小吃,1840422,4805,227986,302857,1018,11612,0.1646
父亲的爱，总是无声的。,https://www.bilibili.com/video/BV1GWZnYcEsu,古泽源,3556219,542,10851,390721,2216,50401,0.1099
这个视频的艺术成分有三四层楼那么高,https://www.bilibili.com/video/BV1cuZwYZEZr,中国警察网,2813590,7458,219254,423973,27864,74400,0.1507
百日绘1-8天汇总！,https://www.bilibili.com/video/BV1z7Z4YbE4u,Kieed,1281542,240,15070,289390,4571,73735,0.2258
李荣浩，你睡了吗？我气得睡不着,https://www.bilibili.com/video/BV1bFZbYUEmW,张大碗子,1938569,896,2591,251392,3723,12188,0.1297
拥有了这样的小卡还…还想拥有大卡！,https://www.bilibili.com/video/BV1xZZHYdEQy,走路摇ZLY,1027408,150,12363,109572,2949,34206,0.1066
今天不带大家修家电了，说点心里话...,https://www.bilibili.com/video/BV1WFZnY2EHU,超越家电,1081777,771,20416,193638,751,6344,0.179
我学历史就是为了看懂这些地狱笑话吗.jpg,https://www.bilibili.com/video/BV1uWZEYpEXQ,伍妖君,693614,484,5326,99364,21477,46776,0.1433
哥哥变成企鹅了怎么办？,https://www.bilibili.com/video/BV1nqZqYxEzH,苹果牌小尾巴,701415,1264,28550,104162,6306,41140,0.1485
