视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
Nyanyanyanyanyanyanyanyanyanyanyanyanya！,https://www.bilibili.com/video/BV1ocoQYpE84,樱庭芥子,3461332,33133,96816,634922,16203,129075,0.1834
重生之我在我妈旁边当跳蚤,https://www.bilibili.com/video/BV1HTZpYSE2h,小糖发财,938338,135,2361,160107,1304,39786,0.1706
不潮不花钱,https://www.bilibili.com/video/BV1QzQcYdEkq,吴允博-球球,2251168,677,20689,229041,6139,17449,0.1017
拖孩一定觉得自己很酷吧,https://www.bilibili.com/video/BV1YHZnYaEYh,藤圆拖孩er,212602,22,1043,47225,307,12347,0.2221
"""feat.你""🌸テレパシ(DECO*27)",https://www.bilibili.com/video/BV1mYZaYXEha,小巫酱w,270160,887,1567,29289,328,21675,0.1084
没有SHINee、没有太阳，就算阴天我也要跳出光芒！,https://www.bilibili.com/video/BV1n6ovYQEZX,兔熊乱忙,1909613,517,20162,276308,1778,15143,0.1447
单主：跳舞毛会乱吗 我：请看,https://www.bilibili.com/video/BV14s92YDE2W,川贝枇杷鼠,813336,94,732,93507,828,3953,0.115
【鱼肉肉】跳完才有力气吃饭,https://www.bilibili.com/video/BV1qSZ8YPE3Y,鱼肉肉pabo,282585,54,1561,42469,104,5039,0.1503
“你失约的戒指 我用烟圈代替了”,https://www.bilibili.com/video/BV1aZZ8YZEBF,小暮mumu,156140,22,688,31133,288,13965,0.1994
一般人我不告诉的,https://www.bilibili.com/video/BV19wZHYPEeJ,小鹿库库,216171,59,403,25968,94,2319,0.1201
