视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
90后这辈子第一次接受到的鼓励式教育,https://www.bilibili.com/video/BV1nwZEYqE2B,红豆稀饭中,5953827,3003,195576,900523,21651,245407,0.1513
《晓艳天气预报》,https://www.bilibili.com/video/BV1ArZnYUE9a,张飞的小迷弟,1726006,1272,35000,208056,58347,59783,0.1205
⚡我自己剪的时候也没绷住⚡,https://www.bilibili.com/video/BV141oXYGE6J,CD怪杰,1237991,34499,60218,238775,8277,50584,0.1929
【哈基米FM】JOJO哈基之风 黑帮摇,https://www.bilibili.com/video/BV1VaoRYfEZH,65折,1845902,11383,52733,233673,51839,88059,0.1266
“新时代的画面，像旧时代底片”,https://www.bilibili.com/video/BV1auZ5YjEmj,深夜摆烂者,2133852,4909,123426,296161,5989,84054,0.1388
我自己剪的时候都没绷住,https://www.bilibili.com/video/BV1SrZ6YJEe1,碧天蓝钻,1570167,68299,37858,180123,15435,55869,0.1147
【光头强】“到底多够优秀，才能成功获救”『心如止水』,https://www.bilibili.com/video/BV1zvoQYFEbi,筱虹虹,1449584,43820,88990,267772,5354,99060,0.1847
将这个视频发给你的群主，并什么也不说,https://www.bilibili.com/video/BV1M4XhY3Ed6,阿白爱整活,825979,6555,2738,119046,72625,40494,0.1441
"""baby我们鬼畜区好像跳楼机""",https://www.bilibili.com/video/BV159ZtY9EKf,爱狂三的星总,702125,24513,31561,99295,3147,26228,0.1414
看完不笑YY症,https://www.bilibili.com/video/BV1ZAodYqEy2,-大大诗-,1175560,300,12010,198313,31843,76303,0.1687
