rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
1,此曲，致时间，和时间里的人们,半终止_Cadence,152603,61729,0.4045,4586,28863,976,647,638,291,https://www.bilibili.com/video/BV1AQYYzYEBb,BV1AQYYzYEBb,从写下第一个音符到现在用了近一年，谢谢欣赏
2,【北宋手书 | 温荆】变法Non-Stop!,特别小的文,86240,28633,0.332,10326,10760,3384,483,110,152,https://www.bilibili.com/video/BV1UNYxzDEYx,BV1UNYxzDEYx,"一年前弃稿的手书居然做完了！
完成了温荆nonstop代入的这个心愿"
3,“收集了这么多好看的风景 那必须第一时间分享给你啦”,风景旅行收藏家,155593,44298,0.2847,1846,18623,4968,5793,12718,151,https://www.bilibili.com/video/BV1XDYpzpEaU,BV1XDYpzpEaU,-
4,莫愁乡，但是丘丘语版,革凡普王i,255719,71297,0.2788,6818,12192,8174,1287,15016,33,https://www.bilibili.com/video/BV1aKYaz5En2,BV1aKYaz5En2,"填词:革凡普王I
视频制作:Strela
演唱者:夏翊然
原曲:莫愁乡 亚细亚旷世奇才"
5,用自媒体赚的钱带全村的老人去旅行,李福贵1,1215220,326069,0.2683,358155,31770,6469,6726,5071,558,https://www.bilibili.com/video/BV1hteAzhEbD,BV1hteAzhEbD,"我们又回到了这座大山
但他、她们的世界，已不再只有大山"
6,“这首《潮汐》真不值得你一键三连吗”,天不生拾柒,250805,65556,0.2614,16483,28178,1416,1322,1115,141,https://www.bilibili.com/video/BV1ESYBzuEUh,BV1ESYBzuEUh,"残月忧郁 星夜静谧 潮落叹息
聆听山语 回荡不清 若即若离
本期算是目前剪辑为止的高峰了
剪出来还是很有成就的
就看你  能否搏一搏我的生机吧
bgm:潮汐-傅梦彤
8.17下午16:30补了下帧率+有些画面微调了下
（又给自己工作量了 可他为什么就是不火呢）
昨晚给整忘了"
7,币，本身不值钱，但投的人多了，它就变成红烧肉便当了,健人鑫,92947,23985,0.2581,21586,1009,93,196,311,401,https://www.bilibili.com/video/BV1kvYsz3E85,BV1kvYsz3E85,
8,我干了，大家随意,AI编程布道者-金角大王,1790713,446970,0.2496,99215,37925,1345,2612,52440,91,https://www.bilibili.com/video/BV1d9bpz1EN5,BV1d9bpz1EN5,
9,你的时间十分宝贵 4.1,沉默-_-微笑,1130417,253346,0.2241,100242,45562,23510,6286,25569,212,https://www.bilibili.com/video/BV1gCtbz9E6o,BV1gCtbz9E6o,"将以往的极光之旅和雪中消逝进行结合并且全面升级的作品，成为我目前最强的视频。
        从0:55开始的20秒最难，无论是炸船尾杀20秒还是单手Spasmodic SP尾杀20秒都无法与之相比，面对着三个谱面的同时高潮段，左手的手法极为复杂，右手压力本身就很大还要时不时来辅助左手，并且Faded的判定较严，稍微不注意准度低一点就会逐渐偏离而掉下去。这毫无疑问是我所有视频中的最难段落。除此之外"
10,海贼100天P1 最绝望的地狱开局 海军三大将同时降临,林凡Gg,57528,12889,0.224,5312,3278,163,789,9379,1117,https://www.bilibili.com/video/BV14tegzCEQs,BV14tegzCEQs,"正式开启新坑了兄弟们！在这个系列里，我们需要靠自己的技术，一步步提升实力，去面对海贼王里的强敌，最终活到第一百天，战胜所有boss！
动画：@智建M刈观皮皮龙  @阿祖yanzu  @林凡Gg  
白发海贼团成员：@幻梦Rez  @小野人老邪  @超级无敌邪垫子  @木星知星  
鸡蛋仔海贼团成员：@M仔B  @FashionEgg  @竹枭枭枭  
模组：Mine Piece     模组汉化作"
11,【苏丹的游戏/图奈手书】Yellow（未完）,绿药膏好难吃,210670,46029,0.2185,10377,15636,1980,535,157,105,https://www.bilibili.com/video/BV1fqYpzwEDu,BV1fqYpzwEDu,过两天出去玩一下就要开学忙起来了，所以干脆把目前的进度先都放出来…！是很粗糙的小手书有很多地方我其实不是很满意，技术力也很低下（下学期会努力学习的qaq）还是希望大家喜欢！（简介应该是没人看的吧TT）
