视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
同时拥有两只高智商猫的弊端,https://www.bilibili.com/video/BV1GDZqY2EAd,亮亮也是酿酿,6021882,5381,101314,667785,53884,91524,0.1109
最近要出远门，找了上门喂养，做了个视频感觉蛮好玩，发出来给大伙玩玩哈哈,https://www.bilibili.com/video/BV1rNZnYVEwL,阿梨梨的动物园,1022669,1153,4406,108417,17789,12985,0.106
士：咩哇？！,https://www.bilibili.com/video/BV1nTZpYSEF4,系嚣士啊,1199346,589,4930,130818,7589,8763,0.1091
渔猫，并非普通家猫,https://www.bilibili.com/video/BV13bZpYvEiZ,大肥居居,1425588,418,933,148055,5212,17467,0.1039
抱在怀里就是超乖小猫,https://www.bilibili.com/video/BV1Q7ZtY7EBJ,胖头毛毛,272868,98,2182,111199,9425,23127,0.4075
来了只焦黄的小猫。。。,https://www.bilibili.com/video/BV1qLZ3YyEjk,汪丷先生,4419521,3377,331046,536282,5801,36561,0.1213
人 快夸我,https://www.bilibili.com/video/BV1czZEYGEmg,吃一口蛋卷o,885517,234,1445,92969,4478,10448,0.105
关键词：粘人 大只 爱撒娇,https://www.bilibili.com/video/BV1cCZnY7E6p,阿耀宠物乐园,414830,328,648,46244,4418,9981,0.1115
救了三只流浪狗 到家一周有两只小狗生崽了。,https://www.bilibili.com/video/BV1V9ZzYpEVc,李英俊帅气,328227,287,36757,57533,139,2131,0.1753
它明明什么都没做，是我先动的心！！,https://www.bilibili.com/video/BV1gyfAY2EYM,斯大喵-年年,557573,73,165,62219,1379,2925,0.1116
☉_☉天狗秒吃月亮..,https://www.bilibili.com/video/BV1TLoBYiEyy,张戴夫要疯,2765189,42827,13213,463443,77401,73420,0.1676
当个兽医压力有多大？？？,https://www.bilibili.com/video/BV1T8ZEYEEAG,宠医张政,345393,7895,4348,53382,158,4013,0.1546
灵活变通的小狗一枚鸭~,https://www.bilibili.com/video/BV1q5oqY7Euq,鱼仔是真的狗,283802,63,623,35739,392,781,0.1259
健人爬山偶遇绝世豪猫，拼尽全力无法不摸,https://www.bilibili.com/video/BV11cZFYxE3W,CcLtM,534108,241,409,66261,900,5893,0.1241
bang出一只小霉猫,https://www.bilibili.com/video/BV1Pqo2YWEed,猫不易,929631,199,4488,200993,9815,19207,0.2162
抵制弹弓打鸟,https://www.bilibili.com/video/BV1gGZGYiEqY,哒哒Ray,877691,449,2035,103609,342,4857,0.118
让我来看看猫猫和油菜花怎么拍,https://www.bilibili.com/video/BV1d9ZnYzEQn,发财是只喵,158898,60,1347,68385,2643,10588,0.4304
只 要 是 德 语 就 画 风 突 变,https://www.bilibili.com/video/BV1zqoQYZEYr,Pheebo菲宝,1421653,500,8402,210791,7891,50164,0.1483
