视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
六尺之内 我是无敌的！,https://www.bilibili.com/video/BV1B3ZnYuEDP,Midoriko绿子,877801,175,9325,195070,2177,47399,0.2222
【摩登表演舞】用芙卡洛斯谢幕曲跳一支维也纳华尔兹,https://www.bilibili.com/video/BV1hFZbYUEbJ,Ada艾达_摸鱼版,1203141,342,8749,182109,3685,41361,0.1514
由岐,https://www.bilibili.com/video/BV16AZrYNEwZ,小包包一枚,1189683,225,14960,132695,5424,63151,0.1115
愚人节，花火秒了！,https://www.bilibili.com/video/BV1H7ZbYTEwy,默默子rikiyo,344980,41,3787,68142,1022,30414,0.1975
下巴为什么比鼻子难do？,https://www.bilibili.com/video/BV1W9ZbYkEwf,十一的看脸日记,561836,3137,4580,64908,1788,4532,0.1155
老 师 我 没 有,https://www.bilibili.com/video/BV1RQZEYAEDd,小南宫zzZ,466311,337,706,48949,364,13132,0.105
"""嗨~想我了吗？""爱莉希雅人之律者cos",https://www.bilibili.com/video/BV1ACZnY7Eb6,北北miya,166999,285,5134,82796,1061,23150,0.4958
“请宿主做好准备”,https://www.bilibili.com/video/BV1EjoXYwECL,Doki蟹泥泥,2512149,273,8240,381035,2642,40539,0.1517
拜见猫猫教主,https://www.bilibili.com/video/BV1koZ6YuE4j,Aira丶艾拉,423835,51,2794,52151,944,16632,0.123
我们是同源而生，说好了，生和死都不再分开【原创CG】,https://www.bilibili.com/video/BV1hNfTYfEhs,零零依zero,596304,378,23614,125105,4879,28521,0.2098
听说了吗？那个千万网红回来宣传广西了！自己做的壮锦披风！希望让更多人看见广西非遗壮锦！,https://www.bilibili.com/video/BV1cwZ8YTESd,氧化菊,360617,46,652,55155,118,1408,0.1529
白厄：我打终焉，真的假的？,https://www.bilibili.com/video/BV167Z4YbEd4,六子X_X,447372,88,392,54355,1197,8009,0.1215
「水水」猫猫先起跳再说！,https://www.bilibili.com/video/BV1pEZhY5EsD,彼岸的水坑-,397259,31,3358,87143,1314,23143,0.2194
真可爱~【艾莉同学】,https://www.bilibili.com/video/BV154ZsYyEgE,小白_QUEEN,180737,11,1237,36030,459,18769,0.1994
看镜头,https://www.bilibili.com/video/BV1f6ZtYaEqG,害羞8,210206,51,4423,34513,454,9674,0.1642
终于轮到我用这个转场了,https://www.bilibili.com/video/BV1dgZzYQEKq,aunt_steph_,508184,47,842,65688,568,6582,0.1293
【原神cos】筑波你小时候怎么这么抽象啊？？,https://www.bilibili.com/video/BV1TAZPY6EBp,饼饼Elwing,287205,69,827,107972,336,42133,0.3759
爽！我终于把我心中的黑帮摇还原出来了！！！,https://www.bilibili.com/video/BV1oVfKYeE7V,好吃不过生巧,1187166,684,33341,131852,6372,35709,0.1111
孩子们，你蝶来了,https://www.bilibili.com/video/BV1sdfAYuE4Y,汤面桢子,242530,998,2286,53220,693,17134,0.2194
遐蝶大战阿凡提慢摇,https://www.bilibili.com/video/BV18yZhY4E6T,郑醒醒啊,75577,5,675,29636,149,14079,0.3921
超细！看完等于学会！0基础万能淡妆跟练～,https://www.bilibili.com/video/BV1YLRnYREe7,龙宝b站版,162573,148,3268,22835,1328,36731,0.1405
请选择你的粉色女友,https://www.bilibili.com/video/BV1L3ZEYhEJm,奈奈无鱼,254968,15,494,29282,75,9485,0.1148
意想不到的转场也是被我拍上了…,https://www.bilibili.com/video/BV1oWXNYjEr8,白昼小熊,1985487,55,6040,217095,4870,32893,0.1093
第五人格时空之影艾维仿妆,https://www.bilibili.com/video/BV1b7ZqYuEjB,花蛤酱吖,344930,99,2736,58804,1165,6302,0.1705
哥只是个传说,https://www.bilibili.com/video/BV1WqZEYCEQB,无枝耶,85505,5,111,9035,170,5966,0.1057
【天依仿声】三月梨花雪～,https://www.bilibili.com/video/BV185ZAYVEKt,黎千洛-Cielo,281505,117,5192,92501,2552,15736,0.3286
坎特蕾拉小姐的私服,https://www.bilibili.com/video/BV1nAZnYyEvA,一头野菜豚,133180,40,1043,47350,329,16153,0.3555
帆仔 | 猫塑统治世界！,https://www.bilibili.com/video/BV1PpZcYcEHz,帆仔oink,208693,35,2686,98535,1148,38897,0.4722
我只是想和你做朋友能有什么坏心眼呢,https://www.bilibili.com/video/BV1ZXZnYgE62,一只大蓝莓,241418,41,345,28323,290,4465,0.1173
我的“狐仙”女友,https://www.bilibili.com/video/BV1tbZnYoEk7,花兮_honoka,117558,6,701,11802,168,7818,0.1004
【APH】请查看英国的今日天气,https://www.bilibili.com/video/BV1f7ZPYFE7S,柚见小羊ASTRO,740852,145,13324,113838,3843,30823,0.1537
为了拍玛奇玛买了云南的鬼面天蛾,https://www.bilibili.com/video/BV1PqZnYHEhR,-阿文Arwen-,766873,62,749,82459,432,8123,0.1075
为坎特蕾拉下海了,https://www.bilibili.com/video/BV1ESZuYCEaB,小心头-小意头,499746,135,26744,100870,3794,32988,0.2018
法兰西局部地区天气预报‖黑塔利亚cos,https://www.bilibili.com/video/BV1MAZBYBE44,mirin王见零,279298,56,5225,79691,2236,21442,0.2853
我的夜间散步就是一场巨大的走秀,https://www.bilibili.com/video/BV1pMZfYREgs,你的小涵同学,282881,116,408,57483,654,3885,0.2032
Asuka daily,https://www.bilibili.com/video/BV1pHZhYGEjk,dirya_dirya,130001,14,1177,18813,524,4526,0.1447
“请选择你的明日方舟天气女友”,https://www.bilibili.com/video/BV1CJZHYQEta,北羽_kaname,271972,43,1232,45507,791,12786,0.1673
流萤的新裙子！,https://www.bilibili.com/video/BV188ZCYsEKr,喵呐喵喵喵,217629,11,1026,33131,349,13104,0.1522
想在国外拍一次游戏角色私设就去了,https://www.bilibili.com/video/BV1BrZqYXEUr,钢铁猛懒懒,261989,38,1051,36165,503,7505,0.138
【小马宝莉｜海妖三姐妹】Abracadabra,https://www.bilibili.com/video/BV1gwXrYMELR,llSHEEPll,1420444,229,20317,285020,3853,64301,0.2007
流萤酱的自拍小视频～,https://www.bilibili.com/video/BV1bpZzYCEcb,小夏不肥肥,124910,19,1668,32031,733,13390,0.2564
不知道啊 听完半点心就这样了,https://www.bilibili.com/video/BV1cuZwYZE7U,苏婆SUPERYUYNG,86387,17,232,13956,173,8996,0.1616
吃的真好,https://www.bilibili.com/video/BV1B2ZtYtE3E,关于小忆,46933,10,109,7816,48,4345,0.1665
不积跬步，无以至千里,https://www.bilibili.com/video/BV14Do1YREcZ,热辣的酥梨,1889848,159,3895,227188,699,33908,0.1202
地下室邀请……yc：xthreeeeee,https://www.bilibili.com/video/BV1aTZvYMEAX,野小仙兔,189476,66,1890,27231,1003,13272,0.1437
明日方舟套餐你抢不抢？,https://www.bilibili.com/video/BV1NKZPYBEUN,宫野绫子123,203183,38,858,30495,3519,4837,0.1501
我 们 的 感 情 好 像 叮 咚 鸡 ⚡,https://www.bilibili.com/video/BV1iZfKYeERt,mememe诶,910769,156,3340,98510,8820,21288,0.1082
