视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
《绝区零》星徽骑士EP丨拂晓之空 闪耀之誓,https://www.bilibili.com/video/BV1HTZpYSExJ,绝区零,1874249,28514,62098,232717,24982,35289,0.1242
简单融个号助力忍界大战,https://www.bilibili.com/video/BV153ZEYhE1N,宇智波家の花音,1097724,2453,100628,135222,3834,15363,0.1232
“我花了5年一个人做的独立像素游戏4月17日就要上线啦！”,https://www.bilibili.com/video/BV1eqZJYaESc,换影循迹官方,3370351,37472,161636,692417,7684,133397,0.2054
当我在游戏里为“狙击手”拍照...【绝区零摄影第六期】,https://www.bilibili.com/video/BV1pJfNYrExn,语堂天天啃土,2362103,746,63658,286393,13859,76038,0.1212
就算失败，我也想知道自己倒在距离终点多远的地方,https://www.bilibili.com/video/BV1VmZqYUE87,阿喵的小生活,5579227,7439,174265,610511,23446,31634,0.1094
“可是遐蝶姐姐的手明明很温暖啊...尽情拥抱吧.”【遐蝶×好想爱这个世界啊】,https://www.bilibili.com/video/BV1GnZnYAEwx,念北风_,889085,15595,46791,108365,8941,51925,0.1219
永远在追求极致的鸣潮！“二游有很多难忘瞬间，你游未免太多了吧！”,https://www.bilibili.com/video/BV1aCZHYKEpY,哇周某人,772682,2267,69302,121420,5001,50774,0.1571
"Pi,mc,极限生存OVA",https://www.bilibili.com/video/BV1ZYZyY3EWS,少年Pi,371678,5728,32236,40947,4363,13026,0.1102
扫除游戏健康生态“新害虫”，米哈游协助警方斩断“游戏账号非法租售黑灰产”链条,https://www.bilibili.com/video/BV1b4ZrYUEef,米哈游法务部,976788,0,28312,172987,15313,9932,0.1771
！奇 曲 蛊 整,https://www.bilibili.com/video/BV11WZxYvE35,卡丘啊那个卡丘,1680843,559,2260,171025,1674,20994,0.1017
“你们可能不相信，但这就是绝区零玩家的日常”,https://www.bilibili.com/video/BV1ZGZnYBEHg,ODer刹,1211488,500,44151,157790,3406,50608,0.1302
并不是当上火影才能被认可 而是被认可的人才能成为火影 去年顶着黑眼圈兢兢业业做忍者的千代 也许也曾天真的以为 只要自己足够努力就能让火影圈变得更好...,https://www.bilibili.com/video/BV1cyZnY2Eu7,是古灵大天才,978227,18474,7831,128559,2024,14388,0.1314
和几十名玩家一起，吃一顿欠了十二年的饭,https://www.bilibili.com/video/BV15dZEYhErZ,小橙子姐姐解说,643621,250,585,71773,125,7309,0.1115
《原神》希诺宁、西特菈莉绝对是影帝级的！阿乔真的太惨了,https://www.bilibili.com/video/BV1FFZ8YBEZY,一位旅行者的账号,403808,163,627,45318,603,18155,0.1122
