视频标题,视频地址,作者,分区,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率,数据源
用自媒体赚的钱带全村的老人去旅行,https://www.bilibili.com/video/BV1hteAzhEbD,李福贵1,三农,1167012,4914,344958,314423,6251,30648,0.2694,popular_api
“这首《潮汐》真不值得你一键三连吗”,https://www.bilibili.com/video/BV1ESYBzuEUh,天不生拾柒,综合,241479,1095,16077,63813,1383,27088,0.2643,popular_api
我干了，大家随意,https://www.bilibili.com/video/BV1d9bpz1EN5,AI编程布道者-金角大王,计算机技术,1775389,51996,98316,444012,1333,37627,0.2501,popular_api
海贼100天P1 最绝望的地狱开局 海军三大将同时降临,https://www.bilibili.com/video/BV14tegzCEQs,林凡Gg,单机游戏,42778,6821,4002,9951,133,2508,0.2326,popular_api
你的时间十分宝贵 4.1,https://www.bilibili.com/video/BV1gCtbz9E6o,沉默-_-微笑,音游,1124109,25345,99749,252156,23400,45316,0.2243,popular_api
【官方投稿】ウルトラトレーラー（超预告篇）／重音テトSV,https://www.bilibili.com/video/BV1wStRz1Eip,マサラダ,VOCALOID·UTAU,156358,8884,17752,33952,1979,15854,0.2171,popular_api
【苏星河】在手机上看一部电影，究竟得先看多少广告？,https://www.bilibili.com/video/BV1seegzzEnH,苏星河牛通,影视杂谈,42601,463,8394,8178,804,2295,0.192,popular_api
《满嘴都是夏天的糖果》,https://www.bilibili.com/video/BV1CUYyzPEqu,屑老板XBOSS,GMV,680766,1772,58773,127931,6268,50595,0.1879,popular_api
我当猫7年了！,https://www.bilibili.com/video/BV156ewzYEgY,吟游诗人咣当,喵星人,406876,10037,13433,75124,2997,5641,0.1846,popular_api
来新疆了，葡萄很好，一串有五十六颗，紧紧的，很甜！,https://www.bilibili.com/video/BV1d8e3zcEZh,爱画画的子衿,亲子,66401,604,11441,12228,191,1035,0.1842,popular_api
昔涟即“开拓”？来古士输才是“赢麻了”？神秘出手，颠覆所有！【普通星铁考据·3.5】,https://www.bilibili.com/video/BV1okeMzxE9X,Muc虚空之翼,手机游戏,58836,1252,6139,10691,516,3156,0.1817,popular_api
EVA使徒来袭，初号机首次出击!,https://www.bilibili.com/video/BV18MewzsEBw,有趣心情,科工机械,136999,187,4718,24823,1904,3716,0.1812,popular_api
Re:佩恩从零开始的异世界生活！！！【三】,https://www.bilibili.com/video/BV1Kue3z1EDC,-夏秋冬-,综合,39287,1144,4580,6944,449,1752,0.1768,popular_api
哥哥姐姐，这是我的修改反馈,https://www.bilibili.com/video/BV1BUeczMEvN,一打七弟弟,仿妆cos,949224,452,12115,165938,1373,6779,0.1748,popular_api
一口气捐出300台AED，夸我！立一下人设！,https://www.bilibili.com/video/BV1SKe3zmErt,大漠叔叔,三农,151620,432,13905,26350,128,1501,0.1738,popular_api
星尘：😡😡😡🤬🤬,https://www.bilibili.com/video/BV1GhbhzeELZ,MaxXSoft,VOCALOID·UTAU,835684,15348,42765,143325,5868,77554,0.1715,popular_api
