视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
需要喝自己胆汁的小女孩珍珍，希望以后的生活苦味追不上你,https://www.bilibili.com/video/BV1JhZcY9EFN,爱画画的子衿,7325447,55429,1359753,1174929,22052,155509,0.1604
女儿：爸爸妈妈要结婚啦？,https://www.bilibili.com/video/BV1fpZ6YaE47,肥娟小吃,1840424,4805,227986,302857,1018,11612,0.1646
父亲的爱，总是无声的。,https://www.bilibili.com/video/BV1GWZnYcEsu,古泽源,3556227,542,10851,390721,2216,50403,0.1099
这个视频的艺术成分有三四层楼那么高,https://www.bilibili.com/video/BV1cuZwYZEZr,中国警察网,2813611,7458,219254,423976,27864,74401,0.1507
百日绘1-8天汇总！,https://www.bilibili.com/video/BV1z7Z4YbE4u,Kieed,1281556,240,15070,289390,4571,73735,0.2258
李荣浩，你睡了吗？我气得睡不着,https://www.bilibili.com/video/BV1bFZbYUEmW,张大碗子,1938577,896,2591,251393,3723,12189,0.1297
拥有了这样的小卡还…还想拥有大卡！,https://www.bilibili.com/video/BV1xZZHYdEQy,走路摇ZLY,1027421,150,12363,109572,2949,34207,0.1066
今天不带大家修家电了，说点心里话...,https://www.bilibili.com/video/BV1WFZnY2EHU,超越家电,1081782,771,20416,193639,751,6344,0.179
我学历史就是为了看懂这些地狱笑话吗.jpg,https://www.bilibili.com/video/BV1uWZEYpEXQ,伍妖君,693627,484,5326,99364,21477,46777,0.1433
哥哥变成企鹅了怎么办？,https://www.bilibili.com/video/BV1nqZqYxEzH,苹果牌小尾巴,701430,1264,28550,104163,6306,41140,0.1485
反复练习只为这一刻,https://www.bilibili.com/video/BV14dZcYqEBn,ssi小许,5915137,325,8984,594466,16628,49808,0.1005
你以为这是一碗普通的螺蛳粉，其实这是…【定格动画】,https://www.bilibili.com/video/BV173ZnYuEBV,蹦蹦是天才呐,1158465,932,7298,126122,517,8636,0.1089
七八月份如果在大街上看到一个中国人后面跟着100个快热死的挪威人，不用怀疑，肯定是我,https://www.bilibili.com/video/BV1xnZAYuEfg,挪威老王,2475071,1649,7835,251526,1689,13432,0.1016
愚人节别被学校骗了！,https://www.bilibili.com/video/BV1jLZpY5E7G,谢谢艺,510310,4978,542,81914,8763,5800,0.1605
